"cell","UMAP1","UMAP2","subcluster","geno","pt"
"wt_7543389",-7.7864280144625,-2.13891770515319,"differentiating","WT",49.8405963708164
"wt_5486278",-7.65453104180625,-2.11474027309294,"differentiating","WT",53.7989599504895
"wt_1328333",-6.54159168404868,-2.00766040954467,"differentiating","WT",48.0585465424262
"wt_8558636",-6.77210764092734,-2.5831314531314,"differentiating","WT",55.7263705266699
"wt_9313940",-7.57939771813681,-2.60860051784392,"differentiating","WT",57.5117157576937
"wt_5612556",-7.57938913506797,-2.68626584682341,"differentiating","WT",54.1466755537084
"wt_7406633",-7.42512468499472,-2.43441619548674,"differentiating","WT",53.4085487621111
"wt_4308182",-7.05127290887168,-2.70931400928374,"differentiating","WT",52.7936980960853
"wt_7085257",-6.12474159402182,-2.2763116565692,"precursor-like","WT",50.2984752000481
"wt_10051612",-6.81257251900962,-1.80806460056182,"differentiating","WT",51.142811588522
"wt_3712539",-6.97772220773032,-1.31882240447875,"differentiating","WT",58.4029775332308
"wt_5193986",-7.82073644799521,-2.60666742000457,"differentiating","WT",55.2282049231385
"wt_5482024",-5.9830866257601,-2.25701405677672,"differentiating","WT",40.374917103614
"wt_3711820",-6.38564638299277,-1.89063884887572,"differentiating","WT",41.924898068668
"wt_1207377",-5.90970138711264,-2.27885844383116,"precursor-like","WT",48.1603297525812
"wt_4455948",-7.39348558587363,-1.91853036556121,"differentiating","WT",54.1395046228783
"wt_2230724",-7.75403360528281,-2.07475402030822,"differentiating","WT",58.9448033955527
"wt_3544338",-7.14912275475791,-2.53367652568694,"differentiating","WT",57.549271292685
"wt_13431952",-6.99637893838217,-0.730095973347385,"differentiating","WT",53.4214172989864
"wt_6355644",-7.79402116936972,-2.16011740836974,"differentiating","WT",55.3088414587525
"wt_9887286",-7.50542310876181,-2.56903185520049,"differentiating","WT",57.8525662315251
"wt_13427724",-7.51799825829795,-1.94750394496794,"differentiating","WT",50.1257710272885
"wt_8258377",-6.7120175759249,-2.65258993778105,"differentiating","WT",39.3795836265377
"wt_13148204",-7.43578771752646,-2.16737320098754,"differentiating","WT",54.2796347867197
"wt_2390442",-6.45929865044883,-1.31299390468474,"differentiating","WT",52.8644668688817
"wt_7260337",-5.75625805062583,-1.82184531364318,"differentiating","WT",43.7712581039966
"wt_13452384",-6.93845895928672,-1.89730515155669,"differentiating","WT",52.8533805509616
"wt_6786839",-7.74764780206015,-2.5746823755252,"differentiating","WT",53.1150576461763
"wt_3279361",-6.49654249352744,-2.41792072925444,"differentiating","WT",47.1976193171222
"wt_7090946",-7.37145761651328,-1.85189892921324,"precursor-like","WT",47.9641838338129
"wt_7978033",-4.90842918557456,-2.37864985141631,"precursor-like","WT",41.0122212800931
"wt_3415008",-7.35155920190146,-2.36537899646636,"differentiating","WT",55.2029791568419
"wt_14013377",-6.6073861519747,-2.48062123927947,"differentiating","WT",54.2380162307058
"wt_1333704",-7.04373077554038,-2.27325632247802,"differentiating","WT",55.2554192310177
"wt_7110951",-6.08110145730307,-2.26452662620421,"differentiating","WT",43.3394631713959
"wt_7840991",-7.62027410668662,-1.85158850822325,"differentiating","WT",50.5931073002971
"wt_6075275",-7.04557327431967,-2.61811055812712,"differentiating","WT",50.2477887195422
"wt_3559000",-6.34107307595542,-2.13621451530333,"precursor-like","WT",55.5054697512783
"wt_3572051",-6.76549820107749,-1.88479771289702,"differentiating","WT",49.8123077464909
"wt_8704986",-7.15307954949668,-2.92947640094634,"differentiating","WT",54.0995906113475
"wt_9909196",-6.2555065552645,-2.4771481958377,"differentiating","WT",54.5870555582327
"wt_12536143",-7.22324518365195,-2.42642225894805,"differentiating","WT",50.3951612961728
"wt_4900703",-6.77376274270346,-1.76287355098601,"differentiating","WT",54.3043605971204
"wt_295710",-6.74878172082236,-1.84625723037596,"differentiating","WT",48.7531878823816
"wt_12240770",-7.7787433068209,-2.39136209163543,"differentiating","WT",50.777049686935
"wt_2244875",-6.08563284081748,-2.02065291080352,"precursor-like","WT",43.723792200179
"wt_1360987",-5.99881939095786,-2.24108829173918,"differentiating","WT",49.9753167174971
"wt_11831891",-5.58835081261924,-2.26147868308898,"precursor-like","WT",39.1853655264125
"wt_1795629",-7.61240152520468,-2.16179289493438,"differentiating","WT",54.0976706018333
"wt_445100",-6.93399004144004,-2.23711659583922,"differentiating","WT",55.6716855007792
"wt_13444995",-4.74137691659262,-2.24598886642333,"precursor-like","WT",40.4077037547086
"wt_7086751",-7.72671369714072,-2.00733973655577,"differentiating","WT",52.9644236135008
"wt_10029774",-7.86479429406455,-2.30770458850737,"differentiating","WT",57.6269770475654
"wt_5040445",-7.37274316949179,-2.179159661864,"differentiating","WT",50.4858898736508
"wt_6344092",-7.55382303399375,-2.28945006999846,"differentiating","WT",50.9335835086591
"wt_316113",-6.7531085411959,-2.49002399120208,"differentiating","WT",58.2371259226973
"wt_9168861",-6.25670770806601,-2.11935033473845,"differentiating","WT",44.0196940196714
"wt_4437208",-5.90027860802939,-1.56183900508757,"precursor-like","WT",40.6669937036645
"wt_3272141",-7.23173002404502,-2.6163596120822,"differentiating","WT",51.5883888167505
"wt_9616596",-7.25422147912314,-2.03234543475981,"differentiating","WT",50.2683357735192
"wt_5487008",-6.17407325906089,-2.83314289722319,"differentiating","WT",43.3010364617533
"wt_12243110",-7.76066164178183,-2.15488781604644,"differentiating","WT",56.3484757342865
"wt_7973056",-5.84637121362021,-2.22387375507231,"precursor-like","WT",47.3854128749678
"wt_12402849",-6.47135595483115,-3.13318290386077,"differentiating","WT",54.387106040022
"wt_3257879",-4.96826891106894,-2.23045589599486,"precursor-like","WT",48.9874743666973
"wt_5467854",-7.35846761864951,-2.65279354724761,"differentiating","WT",60.5532116433818
"wt_9880785",-7.80229524773886,-1.88799359474059,"differentiating","WT",55.049545195158
"wt_329168",-7.01299528283408,-2.5348268953311,"differentiating","WT",56.7675830756521
"wt_12407518",-7.31585840386679,-2.34218599471923,"differentiating","WT",57.6363665998236
"wt_10770506",-7.40273718041709,-2.19855441722747,"differentiating","WT",55.5040392338045
"wt_1050299",-7.36390546960166,-2.65584935817595,"differentiating","WT",55.035981342692
"wt_470074",-6.37437633675864,-1.40274741325255,"differentiating","WT",47.2915473156879
"wt_8115159",-6.52538255852988,-2.0442422834384,"differentiating","WT",51.3823373454512
"wt_11503561",-7.63633875054648,-2.587398192023,"differentiating","WT",48.1695703769569
"wt_1933076",-6.35128454369834,-1.68649031791564,"differentiating","WT",48.7566395096012
"wt_11220121",-7.69990209740927,-1.95806994113799,"differentiating","WT",56.7146880599034
"wt_4739014",-7.23072199029258,-2.5194300619113,"differentiating","WT",49.1250325465197
"wt_888268",-6.55146555108359,-1.50297262344237,"differentiating","WT",52.6770108983098
"wt_7113617",-5.05731586617758,-2.26736321124907,"precursor-like","WT",38.3890105601563
"wt_4434441",-7.8312802712374,-2.20512427959319,"differentiating","WT",58.1668916437179
"wt_611364",-6.51877788705161,-2.20219435367461,"precursor-like","WT",53.260046203707
"wt_7847118",-7.65348962945273,-1.9577937332141,"differentiating","WT",54.9271376330742
"wt_7089804",-7.25801424187949,-2.4447254148471,"differentiating","WT",50.6562286768179
"wt_9016779",-6.29748014611533,-2.21779622707244,"differentiating","WT",56.3826424665018
"wt_11800341",-5.33271984261801,-2.17554881248351,"differentiating","WT",40.077645597399
"wt_7842474",-7.39076189202597,-2.63741125736113,"differentiating","WT",52.2911428464125
