"class","n_cells","gene","pct_expr","mean_expr"
"Ventral IPC",544,"Slc1a3",38.4,0.791
"Ventral IPC",544,"Slco1c1",5.5,0.0943
"Ventral IPC",544,"Mfge8",19.3,0.3152
"Ventral IPC",544,"Pdgfra",4.4,0.0686
"Ventral IPC",544,"Cspg4",1.8,0.0207
"Ventral IPC",544,"Sox10",0.4,0.0045
"Ventral IPC",544,"Fezf2",4.4,0.0539
"Ventral IPC",544,"Tle4",14.5,0.2227
"Ventral IPC",544,"Ntsr1",0.7,0.0065
"Ventral IPC",544,"Satb2",17.8,0.2942
"Ventral IPC",544,"Cux1",63.4,1.2015
"Ventral IPC",544,"Mef2c",18.8,0.3167
"Ventral IPC",544,"Reln",13.1,0.2279
"Ventral IPC",544,"Trp73",0.7,0.0102
"Ventral IPC",544,"Ndnf",2,0.0236
"Ventral IPC",544,"Lhx6",3.1,0.053
"Ventral IPC",544,"Maf",3.7,0.0546
"Ventral IPC",544,"Nxph1",16.9,0.2839
"Ventral IPC",544,"Prox1",15.3,0.263
"Ventral IPC",544,"Htr3a",0.4,0.0048
"Ventral IPC",544,"Nr3c2",3.7,0.0626
"Ventral IPC",544,"Lhx8",0.9,0.0123
"Ventral IPC",544,"Nkx2-1",4.2,0.0611
"Ventral IPC",544,"Cntnap5a",14.7,0.2346
"Ventral IPC",544,"Adarb2",41.5,0.9641
"Ventral IPC",544,"Nr2f2",11,0.1836
"Ventral IPC",544,"Meis2",94.1,3.071
"Ventral IPC",544,"Tshz1",18.9,0.2878
"Ventral IPC",544,"Etv1",28.9,0.5284
"Ventral IPC",544,"Pbx3",65.8,1.6265
"Ventral IPC",544,"Ebf1",9.7,0.1924
"Ventral IPC",544,"Isl1",5.5,0.0967
"Ventral IPC",544,"Rxrg",2.4,0.0318
"Ventral IPC",544,"Npy1r",1.5,0.0184
"Ventral IPC",544,"Dchs2",9,0.1364
"Ventral IPC",544,"Pde8b",2.2,0.0294
"Ventral IPC",544,"Drd2",1.7,0.0262
"Ventral IPC",544,"Penk",1.5,0.0221
"Ventral IPC",544,"Adora2a",0.7,0.0079
"Ventral IPC",544,"Six3",14.5,0.2461
"Ventral IPC",544,"Sox4",65.3,1.2477
