"class","n_cells","gene","pct_expr","mean_expr"
"Dorsal IPC",99,"Slco1c1",36.4,0.6509
"Dorsal IPC",99,"Mfge8",9.1,0.1286
"Dorsal IPC",99,"Pdgfra",1,0.0079
"Dorsal IPC",99,"Cspg4",0,0
"Dorsal IPC",99,"Sox10",0,0
"Dorsal IPC",99,"Fezf2",25.3,0.4144
"Dorsal IPC",99,"Tle4",15.2,0.1897
"Dorsal IPC",99,"Ntsr1",0,0
"Dorsal IPC",99,"Satb2",25.3,0.4564
"Dorsal IPC",99,"Cux1",70.7,1.297
"Dorsal IPC",99,"Mef2c",19.2,0.3201
"Dorsal IPC",99,"Reln",10.1,0.1373
"Dorsal IPC",99,"Trp73",0,0
"Dorsal IPC",99,"Ndnf",1,0.0104
"Dorsal IPC",99,"Lhx6",1,0.0133
"Dorsal IPC",99,"Maf",0,0
"Dorsal IPC",99,"Nxph1",9.1,0.1826
"Dorsal IPC",99,"Prox1",16.2,0.2847
"Dorsal IPC",99,"Htr3a",0,0
"Dorsal IPC",99,"Nr3c2",3,0.0385
"Dorsal IPC",99,"Lhx8",0,0
"Dorsal IPC",99,"Nkx2-1",2,0.0357
"Dorsal IPC",99,"Cntnap5a",8.1,0.123
"Dorsal IPC",99,"Adarb2",17.2,0.3369
"Dorsal IPC",99,"Nr2f2",11.1,0.1495
"Dorsal IPC",99,"Meis2",94.9,3.2318
"Dorsal IPC",99,"Tshz1",9.1,0.1331
"Dorsal IPC",99,"Etv1",12.1,0.2138
"Dorsal IPC",99,"Pbx3",62.6,1.5607
"Dorsal IPC",99,"Ebf1",14.1,0.213
"Dorsal IPC",99,"Isl1",0,0
"Dorsal IPC",99,"Rxrg",1,0.0114
"Dorsal IPC",99,"Npy1r",1,0.0115
"Dorsal IPC",99,"Dchs2",0,0
"Dorsal IPC",99,"Pde8b",5.1,0.0718
"Dorsal IPC",99,"Drd2",1,0.0116
"Dorsal IPC",99,"Penk",0,0
"Dorsal IPC",99,"Adora2a",0,0
"Dorsal IPC",99,"Six3",2,0.024
"Dorsal IPC",99,"Sox4",69.7,1.3616
"GABAergic IN, origin unassigned",464,"Mki67",1.5,0.0196
"GABAergic IN, origin unassigned",464,"Top2a",2.6,0.0373
"GABAergic IN, origin unassigned",464,"Eomes",0.4,0.0044
"GABAergic IN, origin unassigned",464,"Neurog2",1.1,0.0111
"GABAergic IN, origin unassigned",464,"Btg2",0.4,0.005
"GABAergic IN, origin unassigned",464,"Dlx1",20.3,0.3102
"GABAergic IN, origin unassigned",464,"Dlx2",4.5,0.0557
"GABAergic IN, origin unassigned",464,"Ascl1",5.4,0.0632
"GABAergic IN, origin unassigned",464,"Egfr",2.4,0.0312
"GABAergic IN, origin unassigned",464,"Olig2",0.6,0.0066
"GABAergic IN, origin unassigned",464,"Bcan",4.1,0.0412
"GABAergic IN, origin unassigned",464,"Aqp4",0,0
"GABAergic IN, origin unassigned",464,"Aldh1l1",0,0
"GABAergic IN, origin unassigned",464,"Clu",5.8,0.0653
"GABAergic IN, origin unassigned",464,"Slc1a3",5.6,0.074
"GABAergic IN, origin unassigned",464,"Slco1c1",1.5,0.0203
"GABAergic IN, origin unassigned",464,"Mfge8",1.9,0.023
"GABAergic IN, origin unassigned",464,"Pdgfra",0.4,0.0058
"GABAergic IN, origin unassigned",464,"Cspg4",0.2,0.003
"GABAergic IN, origin unassigned",464,"Sox10",0,0
"GABAergic IN, origin unassigned",464,"Fezf2",1.9,0.0206
"GABAergic IN, origin unassigned",464,"Tle4",23.5,0.3352
"GABAergic IN, origin unassigned",464,"Ntsr1",5,0.0578
"GABAergic IN, origin unassigned",464,"Satb2",6.9,0.1068
"GABAergic IN, origin unassigned",464,"Cux1",45.3,0.6353
"GABAergic IN, origin unassigned",464,"Mef2c",28.9,0.4792
"GABAergic IN, origin unassigned",464,"Reln",36.6,0.6302
"GABAergic IN, origin unassigned",464,"Trp73",0.6,0.0061
"GABAergic IN, origin unassigned",464,"Ndnf",3.7,0.0502
"GABAergic IN, origin unassigned",464,"Lhx6",8.4,0.1203
"GABAergic IN, origin unassigned",464,"Maf",12.5,0.1989
"GABAergic IN, origin unassigned",464,"Nxph1",52.2,1.1988
"GABAergic IN, origin unassigned",464,"Prox1",13.1,0.2677
"GABAergic IN, origin unassigned",464,"Htr3a",2.2,0.0209
"GABAergic IN, origin unassigned",464,"Nr3c2",16.4,0.2754
"GABAergic IN, origin unassigned",464,"Lhx8",7.8,0.1306
"GABAergic IN, origin unassigned",464,"Nkx2-1",3.7,0.0479
"GABAergic IN, origin unassigned",464,"Cntnap5a",65.5,1.5911
"GABAergic IN, origin unassigned",464,"Adarb2",98.1,3.7176
"GABAergic IN, origin unassigned",464,"Nr2f2",23.5,0.3658
"GABAergic IN, origin unassigned",464,"Meis2",46.6,1.2153
"GABAergic IN, origin unassigned",464,"Tshz1",9.7,0.1327
"GABAergic IN, origin unassigned",464,"Etv1",4.1,0.0554
"GABAergic IN, origin unassigned",464,"Pbx3",54.1,1.2372
"GABAergic IN, origin unassigned",464,"Ebf1",13.8,0.2488
"GABAergic IN, origin unassigned",464,"Isl1",4.5,0.0599
"GABAergic IN, origin unassigned",464,"Rxrg",2.6,0.0284
"GABAergic IN, origin unassigned",464,"Npy1r",2.8,0.0357
"GABAergic IN, origin unassigned",464,"Dchs2",12.9,0.1751
"GABAergic IN, origin unassigned",464,"Pde8b",12.3,0.1497
"GABAergic IN, origin unassigned",464,"Drd2",1.9,0.0257
"GABAergic IN, origin unassigned",464,"Penk",5.4,0.0803
"GABAergic IN, origin unassigned",464,"Adora2a",1.1,0.0099
"GABAergic IN, origin unassigned",464,"Six3",7.8,0.1373
"GABAergic IN, origin unassigned",464,"Sox4",40.9,0.6156
"Gliogenic RG",290,"Mki67",64.5,1.4762
"Gliogenic RG",290,"Top2a",64.5,1.3765
"Gliogenic RG",290,"Eomes",2.1,0.036
"Gliogenic RG",290,"Neurog2",3.1,0.0566
"Gliogenic RG",290,"Btg2",12.8,0.2084
"Gliogenic RG",290,"Dlx1",7.6,0.1663
"Gliogenic RG",290,"Dlx2",4.1,0.0681
"Gliogenic RG",290,"Ascl1",33.8,0.6543
"Gliogenic RG",290,"Egfr",81,1.9044
"Gliogenic RG",290,"Olig2",47.6,0.8726
"Gliogenic RG",290,"Bcan",58.3,1.1242
"Gliogenic RG",290,"Aqp4",8.3,0.1357
"Gliogenic RG",290,"Aldh1l1",16.2,0.2313
"Gliogenic RG",290,"Clu",5.5,0.0757
"Gliogenic RG",290,"Slc1a3",85.9,2.4997
"Gliogenic RG",290,"Slco1c1",16.6,0.3302
"Gliogenic RG",290,"Mfge8",66.9,1.2856
"Gliogenic RG",290,"Pdgfra",8.3,0.1265
"Gliogenic RG",290,"Cspg4",4.5,0.0605
"Gliogenic RG",290,"Sox10",1.7,0.0359
"Gliogenic RG",290,"Fezf2",4.5,0.07
"Gliogenic RG",290,"Tle4",25.2,0.3979
"Gliogenic RG",290,"Ntsr1",1,0.0124
"Gliogenic RG",290,"Satb2",15.2,0.2594
"Gliogenic RG",290,"Cux1",59.7,1.0944
"Gliogenic RG",290,"Mef2c",12.8,0.2213
"Gliogenic RG",290,"Reln",16.6,0.2965
"Gliogenic RG",290,"Trp73",0.3,0.0095
"Gliogenic RG",290,"Ndnf",3.8,0.0564
"Gliogenic RG",290,"Lhx6",1.4,0.0205
"Gliogenic RG",290,"Maf",2.1,0.0233
"Gliogenic RG",290,"Nxph1",40.3,0.8787
"Gliogenic RG",290,"Prox1",14.5,0.2286
"Gliogenic RG",290,"Htr3a",0.3,0.0057
"Gliogenic RG",290,"Nr3c2",5.5,0.1044
"Gliogenic RG",290,"Lhx8",0,0
"Gliogenic RG",290,"Nkx2-1",1,0.0145
"Gliogenic RG",290,"Cntnap5a",10.7,0.1793
"Gliogenic RG",290,"Adarb2",19.3,0.3637
"Gliogenic RG",290,"Nr2f2",18.6,0.3047
"Gliogenic RG",290,"Meis2",78.3,2.2706
"Gliogenic RG",290,"Tshz1",12.4,0.1958
"Gliogenic RG",290,"Etv1",30,0.484
"Gliogenic RG",290,"Pbx3",48.6,0.9615
"Gliogenic RG",290,"Ebf1",7.2,0.114
"Gliogenic RG",290,"Isl1",1,0.0182
"Gliogenic RG",290,"Rxrg",5.5,0.0907
"Gliogenic RG",290,"Npy1r",0.7,0.0102
"Gliogenic RG",290,"Dchs2",3.8,0.0543
"Gliogenic RG",290,"Pde8b",2.8,0.0436
"Gliogenic RG",290,"Drd2",0,0
"Gliogenic RG",290,"Penk",0.3,0.0029
"Gliogenic RG",290,"Adora2a",1,0.0118
"Gliogenic RG",290,"Six3",4.1,0.0584
"Gliogenic RG",290,"Sox4",42.8,0.787
"Immature Astrocytes",1931,"Mki67",11.3,0.2017
"Immature Astrocytes",1931,"Top2a",8.1,0.1356
"Immature Astrocytes",1931,"Eomes",3.7,0.0722
"Immature Astrocytes",1931,"Neurog2",4.1,0.0591
"Immature Astrocytes",1931,"Btg2",4.5,0.0618
"Immature Astrocytes",1931,"Dlx1",5.6,0.082
"Immature Astrocytes",1931,"Dlx2",1.8,0.0252
"Immature Astrocytes",1931,"Ascl1",5.5,0.0867
"Immature Astrocytes",1931,"Egfr",28.9,0.5699
"Immature Astrocytes",1931,"Olig2",10.5,0.1643
"Immature Astrocytes",1931,"Bcan",57.8,1.1977
"Immature Astrocytes",1931,"Aqp4",20.4,0.3731
"Immature Astrocytes",1931,"Aldh1l1",25.9,0.4052
"Immature Astrocytes",1931,"Clu",29.8,0.4927
"Immature Astrocytes",1931,"Slc1a3",95.4,2.9918
"Immature Astrocytes",1931,"Slco1c1",32.7,0.7457
"Immature Astrocytes",1931,"Mfge8",65.8,1.2638
"Immature Astrocytes",1931,"Pdgfra",0.9,0.0131
"Immature Astrocytes",1931,"Cspg4",3.9,0.0545
"Immature Astrocytes",1931,"Sox10",0.4,0.0058
"Immature Astrocytes",1931,"Fezf2",10,0.1525
"Immature Astrocytes",1931,"Tle4",27.9,0.4328
"Immature Astrocytes",1931,"Ntsr1",2,0.0228
"Immature Astrocytes",1931,"Satb2",11,0.1822
"Immature Astrocytes",1931,"Cux1",48.9,0.8506
"Immature Astrocytes",1931,"Mef2c",17.7,0.312
"Immature Astrocytes",1931,"Reln",18.2,0.3193
"Immature Astrocytes",1931,"Trp73",1.2,0.0167
"Immature Astrocytes",1931,"Ndnf",6.3,0.0976
"Immature Astrocytes",1931,"Lhx6",1.6,0.0211
"Immature Astrocytes",1931,"Maf",6.2,0.0941
"Immature Astrocytes",1931,"Nxph1",19.1,0.3582
"Immature Astrocytes",1931,"Prox1",14.1,0.224
"Immature Astrocytes",1931,"Htr3a",0.3,0.0036
"Immature Astrocytes",1931,"Nr3c2",11.7,0.203
"Immature Astrocytes",1931,"Lhx8",0.9,0.0126
"Immature Astrocytes",1931,"Nkx2-1",2.7,0.0373
"Immature Astrocytes",1931,"Cntnap5a",13.4,0.2347
"Immature Astrocytes",1931,"Adarb2",18.7,0.3776
"Immature Astrocytes",1931,"Nr2f2",27.7,0.4854
"Immature Astrocytes",1931,"Meis2",75.9,2.1119
"Immature Astrocytes",1931,"Tshz1",11.7,0.1807
"Immature Astrocytes",1931,"Etv1",18.1,0.2928
"Immature Astrocytes",1931,"Pbx3",37,0.7323
"Immature Astrocytes",1931,"Ebf1",9.7,0.1758
