# Authoritative membership for the 10 gene sets displayed in Figure 3B-D.
# Direct rows use org.Mm.eg.db 3.20.0, keytype='GO' (not GOALL),
# Entrez/GO source date 2024-Sep20. The cell-cycle row is the recovered
# 94-gene mouse-symbol Tirosh 2016 S+G2/M set used in the analysis.
# One row per unique set-member gene; this table is the frozen input to
# compute_figure3_tables.py and removes annotation-release ambiguity.
#
panel,gene_set,category,go_id,annotation,canonical_fraction,source_release,gene
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Igfals
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Kalrn
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Kif5a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Kif5b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Kif5c
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Klf7
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,L1cam
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lama1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lama2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lama3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lama5
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lamb1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lamb2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lamb3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lamc1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lamc2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lamc3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lgi1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lgr4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lhx2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lmtk2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lmx1a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lrtm1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Lrtm2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Mapk8ip3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Matn2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Mef2c
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Megf9
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Mycbp2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Myh10
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Myot
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Mypn
