# Figure 3 gene-set battery on the installed 18-class scheme, 13 classes.
# 121 of 130 combinations tested; the rest fall below the 15-gene floor and are NA.
# Permutation against size-matched random gene sets drawn from the same class's
#   own DE table, 4,000 draws, per-(set, class) seed derived from master seed 3.
# z_vs_random is the effect: mean log2FC of the set minus the null mean, in null SDs.
# BH is across tested combinations only. One library per genotype: nuclei are
#   pseudoreplicates, so these P values describe how reliably the two libraries differ.
gene_set,category,go_id,annotation,canonical_fraction,cell_type,family,n_genes_in_set,n_genes_tested,test_status,mean_log2FC,z_vs_random,perm_p,significant,significant_FDR_q05,q_value_BH
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,LGE-derived GABAergic,Ventral interneuron,161,74,tested,0.0013,1.02,0.3052,False,False,0.6083
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,SPN-D1 (precursor-like),Ventral projection,161,77,tested,-0.2012,-2.11,0.038,True,False,0.2189
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,SPN-D1 (differentiating),Ventral projection,161,84,tested,-0.0903,-1.123,0.2554,False,False,0.606
Synaptic transmission,Neurotransmission,GO:0007268,direct GO,0.59,SPN-D2 (differentiating),Ventral projection,161,83,tested,-0.0936,-0.352,0.7218,False,False,0.8988
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,Ventral IPC,Progenitor,22,15,tested,-0.3164,-1.964,0.0492,True,False,0.259
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,Gliogenic RG,Progenitor,22,14,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,Immature Astrocytes,Glial,22,15,tested,-0.1237,-1.321,0.1545,False,False,0.5192
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,OPC,Glial,22,16,tested,-0.0464,-0.3,0.7531,False,False,0.8988
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,Deep layer EN,Dorsal excitatory,22,18,tested,-0.261,-3.559,0.005,True,False,0.1399
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,Upper layer EN,Dorsal excitatory,22,15,tested,-0.1838,-1.573,0.0952,False,False,0.3756
